addr	timept	g	range
84	0.1	1.8797302246093743e-06	1
84	0.01	1.637649536132812e-06	1
84	4.0	3.3377075195312494e-06	1
84	1.0	2.4085998535156244e-06	1
84	100000.0	3.834228515625e-06	1
84	0.0	1.3499450683593736e-06	1
85	0.0	6.6445922851562485e-06	5
85	0.1	4.683227539062499e-06	5
85	0.01	4.74273681640625e-06	5
85	4.0	6.047973632812498e-06	5
85	100000.0	3.5281372070312493e-06	5
85	1.0	7.242126464843747e-06	5
86	1.0	1.3623046874999995e-05	10
86	100000.0	1.0059204101562502e-05	10
86	0.01	1.38604736328125e-05	10
86	4.0	1.34814453125e-05	10
86	0.0	1.2645263671874997e-05	10
86	0.1	1.3251953125e-05	10
88	1.0	3.948486328124999e-05	32
88	0.0	4.095458984375e-05	32
88	0.01	3.974853515624998e-05	32
88	0.1	3.9807128906249987e-05	32
88	4.0	3.694824218749999e-05	32
88	100000.0	4.19970703125e-05	32
89	4.0	6.151123046874996e-06	4
89	0.01	4.719543457031249e-06	4
89	1.0	6.0284423828125e-06	4
89	0.1	4.729003906249999e-06	4
89	100000.0	8.4326171875e-06	4
89	0.0	5.945739746093748e-06	4
90	100000.0	3.1053466796875e-05	25
90	1.0	3.1768798828125e-05	25
90	0.1	3.0822753906249993e-05	25
90	0.0	3.188232421874999e-05	25
90	0.01	3.1600341796874985e-05	25
91	1.0	3.670166015624999e-05	28
91	0.1	3.7258300781249985e-05	28
91	0.01	3.5605468749999986e-05	28
91	0.0	3.541870117187499e-05	28
91	4.0	3.5624999999999985e-05	28
91	100000.0	3.5504150390625e-05	28
92	4.0	3.4854736328125e-05	27
92	0.1	3.4537353515624995e-05	27
92	100000.0	2.9799804687500007e-05	27
92	0.01	3.486572265625e-05	27
92	0.0	3.4906005859375e-05	27
92	1.0	3.4682617187499984e-05	27
93	0.01	2.828369140624999e-05	22
93	0.1	2.7821044921874993e-05	22
93	0.0	2.8654785156249987e-05	22
93	100000.0	2.577758789062501e-05	22
93	1.0	2.86572265625e-05	22
94	0.1	1.55841064453125e-05	12
94	0.01	1.6015624999999995e-05	12
94	100000.0	1.4461059570312497e-05	12
94	4.0	1.4399414062499998e-05	12
94	1.0	1.7196044921874993e-05	12
94	0.0	1.5390014648437492e-05	12
95	100000.0	1.36163330078125e-05	10
95	0.1	1.3456420898437497e-05	10
95	0.01	1.3972778320312496e-05	10
95	0.0	1.3735351562499996e-05	10
95	1.0	1.3778686523437494e-05	10
95	4.0	1.653076171874999e-05	10
96	0.01	3.0947875976562487e-06	2
96	1.0	2.4600219726562496e-06	2
96	4.0	1.7247009277343742e-06	2
96	0.0	3.1921386718749987e-06	2
96	100000.0	4.122314453125002e-06	2
96	0.1	3.4402465820312508e-06	2
97	100000.0	1.34649658203125e-05	8
97	0.01	1.10089111328125e-05	8
97	0.0	1.1087646484375e-05	8
97	1.0	1.2991943359374996e-05	8
97	0.1	1.2958984374999995e-05	8
98	0.1	2.524658203125e-05	19
98	0.01	2.4832763671875007e-05	19
98	100000.0	1.5623779296875e-05	19
98	0.0	2.437988281249999e-05	19
98	1.0	2.6308593749999995e-05	19
99	0.0	5.2972412109375e-06	4
99	100000.0	4.368896484375e-06	4
